Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Total_2HT_H,Media_Total_2HT_A,CV_Media_Total_2HT_H,CV_Media_Total_2HT_A,PPJ_H,CV_Pontos_H,PPJ_A,CV_Pontos_A,Media_primeiro_gol_home,Media_primeiro_gol_away,Media_primeiro_gol_home_sofrido,Media_primeiro_gol_away_sofrido,xg_home,xg_away,xg_jogo,Power_home,Power_away,media_movel_chutes_por_gol_H,media_movel_chutes_por_gol_A,media_chutes_home,media_chutes_away,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,Diferente_0x0_Home,Diferente_0x0_Away,Diferente_0x1_Home,Diferente_0x1_Away
nmepW9JU,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Lincoln,Shrewsbury,11.0,13.0,1.93,3.1,4.22,2.4,1.5,2.1,1.65,1.5,0.9,0.11,0.29,1.5,0.9,0.8,1.54,28.88,56.67,47.14,36.29,1.5,0.45,1.95,2.3,-0.3,2.4,2.5,4.67,2.17,70.0,30.0,30.0,40.0,40.0,50.0,50.0,3.0,3.0,70.0,20.0,30.0,20.0,20.0,20.0,10.0,4.12,4.12,100.0,90.0,40.0,20.0
KzQbkXJh,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Port Vale,Charlton,15.0,14.0,2.5,3.4,2.7,1.8,2.0,1.62,2.2,1.5,1.5,0.18,0.09,1.5,1.05,0.5,1.05,51.25,63.29,37.33,43.0,1.3,0.85,2.15,2.33,0.44,3.6,2.0,4.83,2.2,60.0,40.0,40.0,50.0,20.0,50.0,40.0,7.29,7.29,60.0,10.0,40.0,0.0,0.0,40.0,70.0,4.71,4.71,100.0,90.0,50.0,40.0
bRO2liZb,INGLATERRA - LEAGUE ONE (3ª DIVISÃO),2024-01-06,12:00,RODADA 27,Stevenage,Reading,7.0,20.0,1.64,3.8,4.96,1.85,1.85,1.85,1.85,1.1,1.6,0.16,0.09,1.8,0.57,0.5,1.94,34.5,45.57,49.2,39.6,2.04,0.85,2.89,6.0,1.4,2.5,4.0,3.83,3.5,60.0,40.0,40.0,40.0,50.0,40.0,50.0,6.5,6.5,70.0,50.0,30.0,10.0,20.0,70.0,70.0,5.88,5.88,80.0,100.0,30.0,50.0
G4xHvkoQ,PORTUGAL - LIGA PORTUGAL,2024-01-06,12:30,RODADA 16,Estrela da Amadora,Vizela,,16.0,2.55,3.25,2.7,2.1,1.7,1.91,1.91,2.43,1.83,0.2,0.17,0.86,1.71,1.0,1.1,46.5,55.0,49.0,42.25,1.1,1.62,2.72,-1.0,2.0,3.0,3.17,3.25,5.25,57.14,0.0,42.86,28.57,14.29,57.14,57.14,6.2,6.2,33.33,33.33,66.67,16.67,0.0,50.0,66.67,4.5,4.5,100.0,83.33,85.71,66.67
YqPrz9gs,PORTUGAL - LIGA PORTUGAL,2024-01-06,12:30,RODADA 16,Farense,Gil Vicente,8.0,14.0,2.1,3.4,3.3,1.75,2.05,1.62,2.2,1.0,2.17,0.15,0.12,1.57,0.89,0.0,,32.25,43.75,24.67,44.17,2.19,0.89,3.08,6.33,-2.0,1.44,3.17,5.0,3.25,71.43,42.86,28.57,42.86,42.86,57.14,28.57,7.8,7.8,66.67,50.0,33.33,0.0,16.67,83.33,66.67,2.5,2.5,71.43,100.0,28.57,66.67
t0T7kU3j,PORTUGAL - LIGA PORTUGAL 2,2024-01-06,12:30,RODADA 16,Benfica B,CF Os Belenenses,13.0,17.0,1.8,3.5,4.5,1.98,1.88,1.83,1.83,1.57,1.5,0.17,0.22,1.57,0.89,0.67,1.82,54.83,76.67,45.5,15.2,1.83,0.92,2.75,2.67,-0.2,2.72,3.5,4.0,5.67,57.14,28.57,42.86,42.86,14.29,42.86,71.43,5.0,5.0,83.33,33.33,16.67,16.67,0.0,50.0,33.33,5.25,5.25,100.0,100.0,57.14,50.0
KnKIBKKh,PORTUGAL - LIGA PORTUGAL 2,2024-01-06,12:30,RODADA 16,Santa Clara,Mafra,2.0,7.0,1.67,3.6,5.25,2.1,1.7,2.0,1.73,0.86,1.43,0.24,0.24,2.71,0.28,0.71,1.56,20.83,52.4,29.0,42.17,1.6,0.75,2.35,6.67,0.83,2.0,2.5,4.0,2.75,85.71,28.57,14.29,85.71,57.14,42.86,42.86,3.0,3.0,71.43,42.86,28.57,14.29,14.29,57.14,71.43,4.8,4.8,85.71,85.71,42.86,42.86
jRK8nVoa,TURQUIA - SUPER LIG,2024-01-06,13:00,RODADA 19,Ankaragucu,Trabzonspor,11.0,3.0,3.1,3.4,2.1,1.88,1.98,1.67,2.1,1.0,2.38,0.3,0.2,1.0,0.93,1.62,0.93,25.8,27.83,47.67,49.12,1.1,1.67,2.77,2.0,1.71,2.89,1.34,4.0,3.4,62.5,37.5,37.5,12.5,25.0,25.0,50.0,2.8,2.8,87.5,37.5,12.5,50.0,37.5,75.0,75.0,2.33,2.33,87.5,100.0,25.0,37.5
pQinVTGO,TURQUIA - SUPER LIG,2024-01-06,13:00,RODADA 19,Samsunspor,Karagumruk,18.0,17.0,2.1,3.3,3.1,2.03,1.83,1.8,1.91,1.71,0.71,0.2,0.35,1.57,0.89,0.71,1.56,50.6,55.0,45.83,40.83,1.2,1.18,2.38,1.83,0.67,2.5,2.75,4.0,3.0,71.43,28.57,28.57,42.86,14.29,57.14,71.43,7.6,7.6,85.71,28.57,14.29,14.29,14.29,28.57,57.14,5.6,5.6,85.71,100.0,57.14,42.86
0dfUGogJ,PORTUGAL - LIGA PORTUGAL,2024-01-06,15:00,RODADA 16,Arouca,Benfica,10.0,2.0,6.5,4.5,1.44,1.75,2.05,2.0,1.75,1.86,1.43,0.2,0.24,1.14,1.18,2.29,0.55,50.5,31.33,33.17,60.33,1.26,1.47,2.73,1.17,6.17,2.5,3.27,3.75,6.0,71.43,28.57,28.57,28.57,14.29,42.86,42.86,5.6,5.6,57.14,28.57,42.86,71.43,57.14,42.86,42.86,5.0,5.0,100.0,85.71,71.43,57.14
